Date,ZoneID,AvgTemperature,Humidity,SpecialEvent,EnergyConsumption
2025-01-01,Z1,28,40,0,1757
2025-01-01,Z2,28,40,0,1865
2025-01-01,Z3,28,40,0,2163
2025-01-01,Z4,28,40,0,2229
2025-01-01,Z5,28,40,0,2534
2025-01-02,Z1,23,70,0,1614
2025-01-02,Z2,23,70,0,1875
2025-01-02,Z3,23,70,0,2080
2025-01-02,Z4,23,70,0,2249
2025-01-02,Z5,23,70,0,2545
2025-01-03,Z1,36,46,0,1757
2025-01-03,Z2,36,46,0,2077
2025-01-03,Z3,36,46,0,2315
2025-01-03,Z4,36,46,0,2495
2025-01-03,Z5,36,46,0,2690
2025-01-04,Z1,36,86,1,2057
2025-01-04,Z2,36,86,1,2286
2025-01-04,Z3,36,86,1,2529
2025-01-04,Z4,36,86,1,2770
2025-01-04,Z5,36,86,1,2862
2025-01-05,Z1,22,78,1,1844
2025-01-05,Z2,22,78,1,2061
2025-01-05,Z3,22,78,1,2244
2025-01-05,Z4,22,78,1,2403
2025-01-05,Z5,22,78,1,2592
2025-01-06,Z1,24,62,0,1655
2025-01-06,Z2,24,62,0,1916
2025-01-06,Z3,24,62,0,2059
2025-01-06,Z4,24,62,0,2367
2025-01-06,Z5,24,62,0,2535
2025-01-07,Z1,30,53,0,1843
2025-01-07,Z2,30,53,0,1877
2025-01-07,Z3,30,53,0,2254
2025-01-07,Z4,30,53,0,2435
2025-01-07,Z5,30,53,0,2637
2025-01-08,Z1,28,65,0,1702
2025-01-08,Z2,28,65,0,2044
2025-01-08,Z3,28,65,0,2139
2025-01-08,Z4,28,65,0,2351
2025-01-08,Z5,28,65,0,2529
2025-01-09,Z1,33,87,0,1782
2025-01-09,Z2,33,87,0,2013
2025-01-09,Z3,33,87,0,2308
2025-01-09,Z4,33,87,0,2497
2025-01-09,Z5,33,87,0,2588
2025-01-10,Z1,22,46,0,1641
2025-01-10,Z2,22,46,0,1884
2025-01-10,Z3,22,46,0,2063
2025-01-10,Z4,22,46,0,2200
2025-01-10,Z5,22,46,0,2461
2025-01-11,Z1,26,84,0,1830
2025-01-11,Z2,26,84,0,2034
2025-01-11,Z3,26,84,0,2256
2025-01-11,Z4,26,84,0,2326
2025-01-11,Z5,26,84,0,2527
2025-01-12,Z1,25,42,0,1745
2025-01-12,Z2,25,42,0,1819
2025-01-12,Z3,25,42,0,2059
2025-01-12,Z4,25,42,0,2218
2025-01-12,Z5,25,42,0,2380
2025-01-13,Z1,28,47,0,1652
2025-01-13,Z2,28,47,0,1953
2025-01-13,Z3,28,47,0,2147
2025-01-13,Z4,28,47,0,2285
2025-01-13,Z5,28,47,0,2516
2025-01-14,Z1,31,86,0,1803
2025-01-14,Z2,31,86,0,1956
2025-01-14,Z3,31,86,0,2173
2025-01-14,Z4,31,86,0,2383
2025-01-14,Z5,31,86,0,2736
2025-01-15,Z1,25,69,0,1625
2025-01-15,Z2,25,69,0,1947
2025-01-15,Z3,25,69,0,2129
2025-01-15,Z4,25,69,0,2361
2025-01-15,Z5,25,69,0,2418
2025-01-16,Z1,34,45,0,1856
2025-01-16,Z2,34,45,0,1954
2025-01-16,Z3,34,45,0,2166
2025-01-16,Z4,34,45,0,2494
2025-01-16,Z5,34,45,0,2556
2025-01-17,Z1,20,80,0,1620
2025-01-17,Z2,20,80,0,1842
2025-01-17,Z3,20,80,0,2003
2025-01-17,Z4,20,80,0,2246
2025-01-17,Z5,20,80,0,2488
2025-01-18,Z1,29,82,0,1725
2025-01-18,Z2,29,82,0,1980
2025-01-18,Z3,29,82,0,2227
2025-01-18,Z4,29,82,0,2331
2025-01-18,Z5,29,82,0,2664
2025-01-19,Z1,28,84,0,1776
2025-01-19,Z2,28,84,0,1966
2025-01-19,Z3,28,84,0,2242
2025-01-19,Z4,28,84,0,2304
2025-01-19,Z5,28,84,0,2632
2025-01-20,Z1,26,87,0,1855
2025-01-20,Z2,26,87,0,2029
2025-01-20,Z3,26,87,0,2213
2025-01-20,Z4,26,87,0,2390
2025-01-20,Z5,26,87,0,2606
2025-01-21,Z1,32,79,0,1910
2025-01-21,Z2,32,79,0,1956
2025-01-21,Z3,32,79,0,2179
2025-01-21,Z4,32,79,0,2398
2025-01-21,Z5,32,79,0,2583
2025-01-22,Z1,27,59,0,1779
2025-01-22,Z2,27,59,0,1896
2025-01-22,Z3,27,59,0,2083
2025-01-22,Z4,27,59,0,2341
2025-01-22,Z5,27,59,0,2544
2025-01-23,Z1,20,72,0,1550
2025-01-23,Z2,20,72,0,1776
2025-01-23,Z3,20,72,0,1978
2025-01-23,Z4,20,72,0,2231
2025-01-23,Z5,20,72,0,2479
2025-01-24,Z1,36,45,0,1872
2025-01-24,Z2,36,45,0,2062
2025-01-24,Z3,36,45,0,2264
